Vehicle Make,n,Fatal Injury,Suspected Serious Injury,Suspected Minor Injury,Possible Injury,No Apparent Injury
FRIGHT,3,0.0,0.0,0.0,33.33,66.67
FRTL,3,0.0,0.0,0.0,0.0,100.0
GILLEM,3,0.0,0.0,0.0,0.0,100.0
GILLG,3,0.0,0.0,0.0,0.0,100.0
GILLIG BUS,3,0.0,0.0,0.0,0.0,100.0
HOME,3,0.0,0.0,0.0,33.33,66.67
HON,3,0.0,0.0,33.33,33.33,33.33
HONDDA,3,0.0,0.0,0.0,0.0,100.0
HUY,3,0.0,0.0,0.0,0.0,100.0
HUYANDI,3,0.0,0.0,0.0,33.33,66.67
HUYUNDAI,3,0.0,0.0,0.0,33.33,66.67
HYND,3,0.0,0.0,0.0,0.0,100.0
HYNUDAI,3,0.0,0.0,33.33,0.0,66.67
HYU,3,0.0,0.0,0.0,0.0,100.0
HYUANDI,3,0.0,0.0,33.33,0.0,66.67
IHC,3,0.0,0.0,0.0,0.0,100.0
INIFINIT,3,0.0,0.0,0.0,33.33,66.67
INIFINITY,3,0.0,0.0,0.0,33.33,66.67
INTERN,3,0.0,0.0,0.0,0.0,100.0
INTERNATINAL,3,0.0,0.0,0.0,33.33,66.67
JEEK,3,0.0,0.0,0.0,33.33,66.67
LICOLN,3,0.0,0.0,0.0,33.33,66.67
LIN,3,0.0,0.0,0.0,33.33,66.67
LODA,3,0.0,0.0,0.0,33.33,66.67
MERCDES,3,0.0,0.0,0.0,33.33,66.67
MERCEDES BENS,3,0.0,0.0,0.0,0.0,100.0
MERCEDEZ-BENZ,3,0.0,0.0,0.0,0.0,100.0
MERCZ,3,0.0,0.0,0.0,0.0,100.0
MERECEDES,3,0.0,0.0,33.33,0.0,66.67
METRO TRANSIT,3,0.0,0.0,0.0,33.33,66.67
MG,3,0.0,0.0,0.0,33.33,66.67
MIFU,3,0.0,0.0,0.0,0.0,100.0
MINI COOP,3,0.0,0.0,0.0,0.0,100.0
MITSUBISH,3,0.0,0.0,0.0,0.0,100.0
MITSUBUSHI,3,0.0,0.0,0.0,0.0,100.0
MITZUBISHI,3,0.0,0.0,0.0,33.33,66.67
MOZDA,3,0.0,0.0,0.0,0.0,100.0
MWFL,3,0.0,0.0,0.0,0.0,100.0
NEW FLYER OF AMERICA,3,0.0,0.0,0.0,0.0,100.0
NSSAN,3,0.0,0.0,0.0,0.0,100.0
ORD,3,0.0,0.0,0.0,0.0,100.0
ORI,3,0.0,0.0,0.0,0.0,100.0
PIAGGIO AND VESPA,3,0.0,33.33,33.33,33.33,0.0
PORSCH,3,0.0,0.0,0.0,33.33,66.67
POST OFFICE,3,0.0,0.0,0.0,0.0,100.0
POTIAC,3,0.0,0.0,33.33,0.0,66.67
PRIUS,3,0.0,0.0,0.0,0.0,100.0
RANG ROVER,3,0.0,0.0,0.0,0.0,100.0
RIDE ON RIDE OFF,3,0.0,0.0,0.0,0.0,100.0
ROVER,3,0.0,0.0,0.0,33.33,66.67
SCHOOL BUS,3,0.0,0.0,0.0,0.0,100.0
SILVER,3,0.0,0.0,0.0,0.0,100.0
SME,3,0.0,0.0,0.0,0.0,100.0
SPARTIN,3,0.0,0.0,0.0,0.0,100.0
STARCRAFT,3,0.0,0.0,0.0,0.0,100.0
TH,3,0.0,0.0,0.0,0.0,100.0
THMS BU,3,0.0,0.0,0.0,0.0,100.0
THOMAS BUILT BUSES,3,0.0,0.0,0.0,0.0,100.0
THOMAS BUS CO,3,0.0,0.0,0.0,0.0,100.0
THOMP,3,0.0,0.0,0.0,0.0,100.0
THOMSON,3,0.0,0.0,0.0,0.0,100.0
TK,3,0.0,0.0,0.0,0.0,100.0
TOT,3,0.0,0.0,0.0,33.33,66.67
TOYOAT,3,0.0,0.0,0.0,33.33,66.67
TOYORA,3,0.0,0.0,0.0,0.0,100.0
TOYOTA SCION,3,0.0,0.0,0.0,0.0,100.0
UHAUL,3,0.0,0.0,0.0,33.33,66.67
UNKN,3,0.0,0.0,33.33,0.0,66.67
UNKOWN,3,0.0,0.0,0.0,0.0,100.0
UPS,3,0.0,0.0,0.0,0.0,100.0
UTIL,3,0.0,0.0,0.0,0.0,100.0
VOL,3,0.0,0.0,0.0,0.0,100.0
VOLKSWAG,3,0.0,0.0,0.0,33.33,66.67
VOLS,3,0.0,0.0,33.33,33.33,33.33
VOLTSWAGON,3,0.0,0.0,0.0,0.0,100.0
WRKH,3,0.0,0.0,0.0,0.0,100.0
WSTRG,3,0.0,0.0,0.0,0.0,100.0
YOYOTA,3,0.0,0.0,0.0,0.0,100.0
YUKON,3,0.0,0.0,0.0,0.0,100.0
4D,2,0.0,0.0,0.0,50.0,50.0
ADUI,2,0.0,0.0,0.0,50.0,50.0
ALTIMA,2,0.0,0.0,0.0,0.0,100.0
AMERICAN MOTORS,2,0.0,0.0,0.0,0.0,100.0
ATHEY,2,0.0,0.0,0.0,50.0,50.0
AURA,2,0.0,0.0,0.0,0.0,100.0
BLACK,2,0.0,0.0,0.0,0.0,100.0
BUICL,2,0.0,0.0,0.0,0.0,100.0
BUIK,2,0.0,0.0,0.0,0.0,100.0
CADALLIC,2,0.0,0.0,0.0,0.0,100.0
CASCADIA,2,0.0,0.0,0.0,0.0,100.0
CASE,2,0.0,0.0,0.0,0.0,100.0
CATE,2,0.0,0.0,0.0,0.0,100.0
CEV,2,0.0,0.0,0.0,50.0,50.0
CHE,2,0.0,0.0,0.0,0.0,100.0
CHECROLET,2,0.0,0.0,0.0,0.0,100.0
CHECY,2,0.0,0.0,0.0,0.0,100.0
CHEV.,2,0.0,0.0,0.0,0.0,100.0
CHEVELOT,2,0.0,0.0,50.0,0.0,50.0
CHEVEY,2,0.0,0.0,50.0,0.0,50.0
CHEVORELT,2,0.0,0.0,0.0,0.0,100.0
CHEVR,2,0.0,0.0,0.0,0.0,100.0
CHEVRLOET,2,0.0,0.0,0.0,0.0,100.0
CHEVROELT,2,0.0,0.0,0.0,50.0,50.0
CHEVROLEY,2,0.0,0.0,0.0,0.0,100.0
CHEVROLT,2,0.0,0.0,50.0,0.0,50.0
CHEVVAL2013,2,0.0,0.0,0.0,0.0,100.0
CHEY,2,0.0,0.0,0.0,0.0,100.0
CHONGQING RATO,2,0.0,100.0,0.0,0.0,0.0
CHRSYLER,2,0.0,0.0,0.0,0.0,100.0
CHRVROLET,2,0.0,0.0,0.0,50.0,50.0
CHRYLER,2,0.0,0.0,0.0,0.0,100.0
CHY,2,0.0,50.0,0.0,0.0,50.0
COACHMEN,2,0.0,0.0,0.0,0.0,100.0
CRANE CARRIER,2,0.0,0.0,0.0,0.0,100.0
CRY,2,0.0,0.0,0.0,0.0,100.0
CRYSTLER,2,0.0,0.0,50.0,50.0,0.0
CSX,2,0.0,0.0,0.0,0.0,100.0
DDOGE,2,0.0,0.0,0.0,0.0,100.0
DOD,2,0.0,0.0,0.0,50.0,50.0
DODDGE,2,0.0,0.0,0.0,0.0,100.0
DODGE`,2,0.0,0.0,0.0,0.0,100.0
DOG,2,0.0,0.0,0.0,0.0,100.0
DOGDE,2,0.0,0.0,0.0,0.0,100.0
DOSGE,2,0.0,0.0,0.0,0.0,100.0
ECLIPSE,2,0.0,0.0,0.0,100.0,0.0
ECONOLINE,2,0.0,0.0,0.0,0.0,100.0
ELANTRA,2,0.0,0.0,0.0,0.0,100.0
ERL,2,0.0,0.0,0.0,0.0,100.0
EVOBUS,2,0.0,0.0,0.0,0.0,100.0
EXMARK,2,0.0,0.0,0.0,0.0,100.0
FIRD,2,0.0,0.0,0.0,50.0,50.0
FLASH,2,0.0,0.0,0.0,0.0,100.0
FLEET EQUIPMENT,2,0.0,0.0,0.0,0.0,100.0
FLEETWOOD,2,0.0,0.0,0.0,0.0,100.0
FORDVAL2013,2,0.0,0.0,0.0,0.0,100.0
FORE,2,0.0,0.0,0.0,0.0,100.0
FORF,2,0.0,0.0,0.0,0.0,100.0
FORK,2,0.0,0.0,0.0,0.0,100.0
FRAIGHT LINER,2,0.0,0.0,0.0,0.0,100.0
FREIGHTL,2,0.0,0.0,50.0,0.0,50.0
FREIGHTLIN,2,0.0,0.0,0.0,0.0,100.0
FREIGHTLNR,2,0.0,0.0,0.0,0.0,100.0
FRH,2,0.0,0.0,0.0,0.0,100.0
FRHT BU,2,0.0,0.0,0.0,0.0,100.0
FRHT LINER,2,0.0,0.0,0.0,0.0,100.0
FRHT TK,2,0.0,0.0,0.0,0.0,100.0
FRHTLINER,2,0.0,0.0,0.0,0.0,100.0
FRIEGHT LINER,2,0.0,0.0,0.0,0.0,100.0
FRNT,2,0.0,0.0,0.0,0.0,100.0
FRONTIER,2,0.0,0.0,0.0,0.0,100.0
FRTH,2,0.0,0.0,0.0,0.0,100.0
FTHT,2,0.0,0.0,0.0,0.0,100.0
GDAN,2,0.0,0.0,50.0,0.0,50.0
GENE,2,0.0,0.0,0.0,0.0,100.0
GENERAL ELECTRIC,2,0.0,0.0,0.0,0.0,100.0
GENISIS,2,0.0,0.0,0.0,0.0,100.0
GENU,2,0.0,0.0,50.0,50.0,0.0
GGR,2,0.0,0.0,0.0,0.0,100.0
GILLARD,2,0.0,0.0,0.0,0.0,100.0
GILLI,2,0.0,0.0,0.0,0.0,100.0
GILLIA,2,0.0,0.0,0.0,0.0,100.0
GILLIG LLC,2,0.0,0.0,0.0,0.0,100.0
GILLIGE,2,0.0,0.0,0.0,0.0,100.0
GL,2,0.0,0.0,0.0,0.0,100.0
GOLD,2,0.0,0.0,0.0,0.0,100.0
GRADALL,2,0.0,0.0,0.0,0.0,100.0
GRAY,2,0.0,0.0,0.0,0.0,100.0
GRUNMAN,2,0.0,0.0,0.0,0.0,100.0
H,2,0.0,0.0,0.0,0.0,100.0
HARLEY D,2,0.0,0.0,100.0,0.0,0.0
HARLEY DAV,2,50.0,0.0,50.0,0.0,0.0
HARLEY DAVISON,2,0.0,0.0,100.0,0.0,0.0
HIN,2,0.0,0.0,0.0,0.0,100.0
HIONDA,2,0.0,0.0,0.0,0.0,100.0
HNDA,2,0.0,0.0,0.0,50.0,50.0
HOD,2,0.0,0.0,0.0,0.0,100.0
HOMDA,2,0.0,0.0,0.0,0.0,100.0
HOONDA,2,0.0,0.0,0.0,0.0,100.0
HUN,2,0.0,0.0,0.0,0.0,100.0
HUUNDAI,2,0.0,0.0,0.0,0.0,100.0
HUYANDAI,2,0.0,0.0,0.0,0.0,100.0
HUYNDA,2,0.0,0.0,0.0,50.0,50.0
HYDUNAI,2,0.0,0.0,0.0,0.0,100.0
HYUNADAI,2,0.0,0.0,0.0,50.0,50.0
HYUNDAUI,2,0.0,0.0,0.0,0.0,100.0
IC INTERNATIONAL,2,0.0,0.0,0.0,0.0,100.0
INTEL,2,0.0,0.0,0.0,0.0,100.0
INTL TK,2,0.0,0.0,0.0,0.0,100.0
ISUSU,2,0.0,0.0,50.0,0.0,50.0
JAUG,2,0.0,0.0,0.0,50.0,50.0
JETTA,2,0.0,0.0,0.0,0.0,100.0
JIANGSU,2,0.0,100.0,0.0,0.0,0.0
KAWASKI,2,0.0,0.0,0.0,50.0,50.0
KENT,2,0.0,0.0,0.0,0.0,100.0
KENTWORTH,2,0.0,0.0,0.0,0.0,100.0
KWIK LOAD,2,0.0,0.0,0.0,0.0,100.0
KYMC,2,0.0,0.0,100.0,0.0,0.0
L ROVER,2,0.0,0.0,50.0,0.0,50.0
LANCE,2,0.0,50.0,50.0,0.0,0.0
LANDOVER,2,0.0,0.0,0.0,0.0,100.0
LEXUIS,2,0.0,0.0,0.0,0.0,100.0
LUXUS,2,0.0,0.0,0.0,0.0,100.0
MA,2,0.0,0.0,0.0,0.0,100.0
MARC,2,0.0,0.0,0.0,0.0,100.0
MASERATTI,2,0.0,0.0,0.0,0.0,100.0
MAZDA 5,2,0.0,0.0,0.0,0.0,100.0
MAZDZ,2,0.0,0.0,0.0,50.0,50.0
MBENZ,2,0.0,0.0,0.0,50.0,50.0
MCI TRAILERS,2,0.0,0.0,0.0,0.0,100.0
MECEDES BENZ,2,0.0,0.0,0.0,50.0,50.0
MECURY,2,0.0,0.0,0.0,0.0,100.0
MERCADES,2,0.0,0.0,0.0,0.0,100.0
MERCEDS BENZ,2,0.0,0.0,0.0,0.0,100.0
MERCERDEZ,2,0.0,0.0,0.0,0.0,100.0
METRO TRAILER,2,0.0,0.0,0.0,0.0,100.0
METRO TRAM,2,0.0,0.0,0.0,0.0,100.0
METROBUS,2,0.0,0.0,0.0,0.0,100.0
MISS,2,0.0,0.0,0.0,0.0,100.0
MITSIBUSHI,2,0.0,0.0,0.0,0.0,100.0
MITSUBISI,2,0.0,0.0,0.0,50.0,50.0
MITTS,2,0.0,0.0,50.0,50.0,0.0
MONGOOSE,2,0.0,0.0,50.0,50.0,0.0
MOPED WORLD,2,0.0,0.0,50.0,50.0,0.0
MURCURY,2,0.0,0.0,50.0,0.0,50.0
MUSTANG,2,0.0,0.0,0.0,0.0,100.0
NEO,2,0.0,0.0,0.0,0.0,100.0
NEW FLYE,2,0.0,0.0,0.0,0.0,100.0
NEW FYLER,2,0.0,0.0,0.0,0.0,100.0
NEW HOLLAND,2,0.0,0.0,0.0,0.0,100.0
"NEWFAB, INC.",2,0.0,0.0,0.0,0.0,100.0
NEWFLYR,2,0.0,0.0,0.0,50.0,50.0
NEWVAL2013,2,0.0,0.0,0.0,0.0,100.0
NFWL,2,0.0,0.0,0.0,0.0,100.0
NIISAN,2,0.0,0.0,0.0,0.0,100.0
NIS,2,0.0,0.0,0.0,0.0,100.0
NISSA N,2,0.0,0.0,0.0,50.0,50.0
NISSN,2,0.0,0.0,0.0,0.0,100.0
NOV,2,0.0,0.0,0.0,0.0,100.0
NVAE,2,0.0,0.0,0.0,0.0,100.0
ODB,2,0.0,0.0,0.0,0.0,100.0
OLDMOBILE,2,0.0,0.0,0.0,0.0,100.0
ORIN,2,0.0,0.0,0.0,0.0,100.0
OYOTA,2,0.0,0.0,0.0,50.0,50.0
PEIRCE,2,0.0,0.0,0.0,0.0,100.0
PERM,2,0.0,0.0,0.0,0.0,100.0
PET,2,0.0,0.0,0.0,0.0,100.0
PIAGGIO,2,0.0,0.0,50.0,50.0,0.0
PORSHE,2,0.0,0.0,100.0,0.0,0.0
PROS,2,0.0,0.0,0.0,0.0,100.0
PRTA,2,0.0,0.0,0.0,0.0,100.0
PTB,2,0.0,0.0,50.0,0.0,50.0
RANGEROVER,2,0.0,0.0,0.0,0.0,100.0
SATN,2,0.0,0.0,0.0,0.0,100.0
SCHWINN,2,0.0,0.0,0.0,50.0,50.0
SIENNA,2,0.0,0.0,0.0,0.0,100.0
SMAR,2,0.0,0.0,0.0,50.0,50.0
SONATA,2,0.0,0.0,0.0,0.0,100.0
SPA,2,0.0,0.0,0.0,0.0,100.0
SPAR TK,2,0.0,0.0,0.0,0.0,100.0
SPART,2,0.0,0.0,0.0,0.0,100.0
SPAT,2,0.0,0.0,0.0,0.0,100.0
SPRINTER (DODGE OR F,2,0.0,0.0,0.0,0.0,100.0
SPTN,2,0.0,0.0,0.0,0.0,100.0
SUBARUR,2,0.0,0.0,0.0,0.0,100.0
SUBBARU,2,0.0,0.0,0.0,0.0,100.0
SUBRU,2,0.0,0.0,0.0,0.0,100.0
SUBURBAN,2,0.0,0.0,0.0,0.0,100.0
SUV,2,0.0,0.0,0.0,0.0,100.0
SUZUKI FIVE STAR,2,0.0,0.0,0.0,100.0,0.0
T0YOTA,2,0.0,0.0,0.0,0.0,100.0
TAOT,2,0.0,50.0,0.0,50.0,0.0
THOM BUS,2,0.0,0.0,0.0,0.0,100.0
THOMA,2,0.0,0.0,0.0,0.0,100.0
THOMASS,2,0.0,0.0,0.0,0.0,100.0
THOMSEN,2,0.0,0.0,0.0,0.0,100.0
TORO,2,0.0,0.0,50.0,0.0,50.0
TOTOYTA,2,0.0,0.0,50.0,0.0,50.0
TOYAT,2,0.0,0.0,0.0,0.0,100.0
TOYATA,2,0.0,0.0,50.0,0.0,50.0
TOYATO,2,0.0,0.0,0.0,0.0,100.0
TOYOTO,2,0.0,0.0,50.0,0.0,50.0
TOYOTRA,2,0.0,0.0,0.0,0.0,100.0
TOYOTTA,2,0.0,0.0,0.0,0.0,100.0
TOYOVAL1999,2,0.0,0.0,0.0,0.0,100.0
TOYOVAL2011,2,0.0,0.0,0.0,0.0,100.0
TOYPTA,2,0.0,0.0,50.0,0.0,50.0
TOYYOTA,2,0.0,0.0,0.0,50.0,50.0
TPYOTA,2,0.0,0.0,0.0,0.0,100.0
TRIU,2,0.0,0.0,50.0,0.0,50.0
TRUM,2,0.0,0.0,0.0,0.0,100.0
TSLA,2,0.0,0.0,0.0,0.0,100.0
TTOYOTA,2,0.0,0.0,0.0,0.0,100.0
UDT,2,0.0,0.0,0.0,0.0,100.0
UK,2,0.0,0.0,0.0,0.0,100.0
UNITED STATES,2,0.0,0.0,0.0,0.0,100.0
UNKNOW,2,0.0,0.0,0.0,0.0,100.0
VERSA,2,0.0,0.0,50.0,50.0,0.0
VOKS,2,0.0,0.0,0.0,50.0,50.0
VOKSWAGEN,2,0.0,0.0,0.0,50.0,50.0
VOLK SWAGON,2,0.0,0.0,0.0,100.0,0.0
VOLKESWAGON,2,0.0,0.0,0.0,0.0,100.0
VOLKK,2,0.0,0.0,0.0,0.0,100.0
VOLKS WAGEN,2,0.0,0.0,0.0,0.0,100.0
VOLKSAWAGON,2,0.0,0.0,0.0,0.0,100.0
VOLKSW,2,0.0,0.0,0.0,50.0,50.0
VOLKSWA,2,0.0,0.0,0.0,0.0,100.0
VOLKSWAGEB,2,0.0,0.0,0.0,0.0,100.0
VOLKSWGN,2,0.0,0.0,0.0,0.0,100.0
VOLKWASGEN,2,0.0,0.0,0.0,0.0,100.0
VOLSKWAGON,2,0.0,0.0,0.0,0.0,100.0
VOLSWAGAN,2,0.0,0.0,50.0,0.0,50.0
VOLTS,2,0.0,0.0,0.0,0.0,100.0
VOLVE,2,0.0,0.0,0.0,0.0,100.0
VOVL,2,0.0,0.0,0.0,100.0,0.0
WANC,2,0.0,0.0,0.0,0.0,100.0
WINN,2,0.0,0.0,0.0,0.0,100.0
XXXXX,2,0.0,0.0,0.0,0.0,100.0
ZERO,2,0.0,0.0,50.0,50.0,0.0
ZHONGXING,2,0.0,0.0,100.0,0.0,0.0
-,1,0.0,0.0,0.0,0.0,100.0
00000,1,0.0,0.0,0.0,0.0,100.0
"102 IRONWORKS, INC.",1,0.0,0.0,100.0,0.0,0.0
1D7FL16K04S505648,1,0.0,0.0,0.0,0.0,100.0
1G11B5SL3EF247075,1,0.0,0.0,0.0,0.0,100.0
1G1BE5SM6H7210069,1,0.0,0.0,100.0,0.0,0.0
1HGCR2F87DA167257,1,0.0,0.0,0.0,0.0,100.0
1J4GR48K46C147800,1,0.0,0.0,0.0,0.0,100.0
1N4AL21E97N401924,1,0.0,0.0,0.0,0.0,100.0
1N4CL21E07C237211,1,0.0,0.0,0.0,0.0,100.0
2004,1,0.0,0.0,0.0,0.0,100.0
2011,1,0.0,0.0,0.0,0.0,100.0
2012,1,0.0,0.0,0.0,0.0,100.0
2014,1,0.0,0.0,0.0,100.0,0.0
2015,1,0.0,0.0,0.0,100.0,0.0
280 TRAILERS,1,0.0,0.0,0.0,0.0,100.0
2D,1,0.0,0.0,0.0,0.0,100.0
34P,1,0.0,0.0,0.0,0.0,100.0
3AB2417,1,0.0,0.0,0.0,0.0,100.0
3N1AB7AP8FY306562,1,0.0,0.0,0.0,0.0,100.0
3VWRM71K58M159204,1,0.0,0.0,0.0,0.0,100.0
4400,1,0.0,0.0,0.0,0.0,100.0
4DR,1,0.0,0.0,0.0,0.0,100.0
4S,1,0.0,0.0,100.0,0.0,0.0
4T1BF30K65U094293,1,0.0,0.0,0.0,0.0,100.0
4T1BF3EK0AU523771,1,0.0,0.0,0.0,0.0,100.0
5DC8656,1,0.0,0.0,0.0,0.0,100.0
5FNYF7H90KB004194,1,0.0,0.0,0.0,0.0,100.0
5N1AT2MV9HC830432,1,0.0,0.0,0.0,0.0,100.0
5NMZU3LB7JH071949,1,0.0,0.0,0.0,100.0,0.0
5NPEC4AB5EH926862,1,0.0,0.0,0.0,0.0,100.0
8422631,1,0.0,0.0,0.0,0.0,100.0
99999999,1,0.0,0.0,0.0,0.0,100.0
9CW3693,1,0.0,0.0,0.0,0.0,100.0
A220,1,0.0,0.0,0.0,0.0,100.0
ABY,1,0.0,0.0,0.0,0.0,100.0
ACARA,1,0.0,0.0,0.0,100.0,0.0
ACC,1,0.0,0.0,0.0,100.0,0.0
ACCENT,1,0.0,0.0,0.0,0.0,100.0
ACCORD,1,0.0,0.0,0.0,0.0,100.0
ACCU,1,0.0,0.0,0.0,100.0,0.0
ACEPOWER,1,0.0,0.0,100.0,0.0,0.0
ACRA,1,0.0,0.0,0.0,0.0,100.0
ACUAR,1,0.0,0.0,0.0,0.0,100.0
ACURA MDX,1,0.0,0.0,0.0,0.0,100.0
ACURA STATEFARM,1,0.0,0.0,0.0,0.0,100.0
ACURAMDX,1,0.0,0.0,0.0,0.0,100.0
ACURARDX,1,0.0,0.0,0.0,0.0,100.0
ACURAT,1,0.0,0.0,100.0,0.0,0.0
ACURS,1,0.0,0.0,0.0,0.0,100.0
ADVA,1,0.0,0.0,0.0,0.0,100.0
AGCHEM,1,0.0,0.0,0.0,0.0,100.0
AGUSTA,1,100.0,0.0,0.0,0.0,0.0
AIA,1,0.0,0.0,0.0,100.0,0.0
AL,1,0.0,0.0,0.0,0.0,100.0
ALFA ROMERO,1,0.0,0.0,0.0,0.0,100.0
ALLIED GRUMMAN,1,0.0,0.0,0.0,0.0,100.0
ALPHA,1,0.0,0.0,0.0,0.0,100.0
ALUM,1,0.0,0.0,0.0,100.0,0.0
AMB,1,0.0,0.0,0.0,0.0,100.0
AMBULANCE,1,0.0,0.0,0.0,0.0,100.0
AMC,1,0.0,0.0,0.0,0.0,100.0
AMGN,1,0.0,0.0,0.0,0.0,100.0
AMIGO,1,0.0,0.0,100.0,0.0,0.0
AMTECH,1,0.0,0.0,0.0,0.0,100.0
AMTRAK,1,0.0,0.0,0.0,0.0,100.0
AMTRAK TRAIN 883,1,0.0,0.0,0.0,0.0,100.0
APRILIA,1,0.0,0.0,0.0,0.0,100.0
APRILLA,1,0.0,0.0,0.0,0.0,100.0
ASPHALT,1,0.0,0.0,0.0,0.0,100.0
ASTRO,1,0.0,100.0,0.0,0.0,0.0
ATLAS,1,0.0,0.0,0.0,0.0,100.0
AUCRA,1,0.0,0.0,0.0,0.0,100.0
AUDIVAL2007,1,0.0,0.0,0.0,0.0,100.0
AUFI,1,0.0,0.0,0.0,0.0,100.0
AUIDI,1,0.0,0.0,0.0,0.0,100.0
AUTC,1,0.0,0.0,0.0,0.0,100.0
AUTOCART,1,0.0,0.0,0.0,0.0,100.0
AUTU,1,0.0,0.0,0.0,0.0,100.0
AUVOLVO,1,0.0,0.0,0.0,0.0,100.0
AVENTON BICYCLE,1,0.0,0.0,100.0,0.0,0.0
BAE,1,0.0,0.0,0.0,0.0,100.0
BAHA,1,0.0,0.0,0.0,100.0,0.0
BAJA WARRIOR,1,0.0,0.0,0.0,100.0,0.0
BASHAN,1,0.0,0.0,0.0,100.0,0.0
BC,1,0.0,0.0,0.0,0.0,100.0
BCT,1,0.0,0.0,0.0,0.0,100.0
BEAL,1,0.0,0.0,0.0,0.0,100.0
BENS,1,0.0,0.0,0.0,0.0,100.0
BENT,1,0.0,0.0,0.0,0.0,100.0
BENTLY,1,0.0,0.0,0.0,0.0,100.0
BERI,1,0.0,0.0,0.0,0.0,100.0
BERK,1,0.0,0.0,0.0,0.0,100.0
BIGBOY,1,0.0,0.0,100.0,0.0,0.0
BIGTEX,1,0.0,0.0,0.0,0.0,100.0
BIKE,1,0.0,0.0,0.0,100.0,0.0
BLBI,1,0.0,0.0,0.0,0.0,100.0
BLUB,1,0.0,0.0,0.0,0.0,100.0
BM,1,0.0,0.0,0.0,0.0,100.0
BME,1,0.0,0.0,0.0,0.0,100.0
BMMW,1,0.0,0.0,0.0,0.0,100.0
BMV,1,0.0,0.0,0.0,0.0,100.0
BMW 4S,1,0.0,0.0,0.0,0.0,100.0
BOB CAT,1,0.0,0.0,0.0,0.0,100.0
BORN,1,0.0,0.0,0.0,0.0,100.0
BOUND,1,0.0,0.0,0.0,0.0,100.0
BOX,1,0.0,0.0,0.0,0.0,100.0
BRIGHTDROP,1,0.0,0.0,0.0,0.0,100.0
BRINKS TRUCK,1,0.0,0.0,0.0,0.0,100.0
BRONCO,1,0.0,0.0,100.0,0.0,0.0
BTM,1,0.0,0.0,0.0,0.0,100.0
BTU,1,0.0,0.0,0.0,0.0,100.0
BUELL,1,0.0,0.0,100.0,0.0,0.0
BUICCK,1,0.0,0.0,0.0,0.0,100.0
BUICK L,1,0.0,0.0,0.0,0.0,100.0
BUICKE,1,0.0,0.0,0.0,0.0,100.0
BUSH TRAILER,1,0.0,0.0,0.0,0.0,100.0
BUSSCAR,1,0.0,0.0,0.0,0.0,100.0
BW,1,0.0,0.0,0.0,0.0,100.0
C&C INDUSTRIES INC.,1,0.0,0.0,0.0,0.0,100.0
C-HR,1,0.0,0.0,0.0,0.0,100.0
CABO,1,0.0,0.0,0.0,100.0,0.0
CADALIC,1,0.0,0.0,0.0,0.0,100.0
CADALLAC,1,0.0,0.0,0.0,0.0,100.0
CADDILAC,1,0.0,0.0,0.0,100.0,0.0
CADILACC,1,0.0,0.0,100.0,0.0,0.0
CADILLA,1,0.0,0.0,0.0,0.0,100.0
CADILLIC,1,0.0,0.0,0.0,0.0,100.0
CAMA,1,0.0,0.0,0.0,0.0,100.0
CANA,1,0.0,0.0,100.0,0.0,0.0
CANNONDALE,1,0.0,0.0,0.0,100.0,0.0
CAON,1,0.0,0.0,0.0,0.0,100.0
CAPITAL BIKESHARE,1,0.0,0.0,100.0,0.0,0.0
CARO,1,0.0,0.0,0.0,0.0,100.0
CARR,1,0.0,0.0,0.0,0.0,100.0
CC,1,0.0,0.0,100.0,0.0,0.0
CCG,1,0.0,0.0,0.0,0.0,100.0
CDI,1,0.0,0.0,0.0,0.0,100.0
CEHEVROLET,1,0.0,0.0,0.0,0.0,100.0
CEHV,1,0.0,0.0,0.0,100.0,0.0
CEHVORLET,1,0.0,100.0,0.0,0.0,0.0
CEHVY,1,0.0,0.0,0.0,0.0,100.0
CEVROLET,1,0.0,0.0,0.0,0.0,100.0
CEVY,1,0.0,0.0,0.0,0.0,100.0
CFMOTO,1,0.0,0.0,100.0,0.0,0.0
CGEVROLET,1,0.0,0.0,0.0,100.0,0.0
CGHRUSYLER,1,0.0,0.0,100.0,0.0,0.0
CHAVROLET,1,0.0,0.0,0.0,0.0,100.0
CHEROKEE,1,0.0,0.0,0.0,0.0,100.0
CHERVEOLET,1,0.0,0.0,0.0,0.0,100.0
CHERVERLET,1,0.0,0.0,0.0,0.0,100.0
CHERVEROLET,1,0.0,0.0,0.0,0.0,100.0
CHEVERLET,1,0.0,0.0,0.0,0.0,100.0
CHEVERLOET,1,0.0,0.0,0.0,0.0,100.0
CHEVEROLRT,1,0.0,0.0,0.0,0.0,100.0
CHEVOROLET,1,0.0,0.0,0.0,0.0,100.0
CHEVRO,1,0.0,0.0,0.0,0.0,100.0
CHEVROLE,1,0.0,0.0,0.0,100.0,0.0
CHEVROLEET,1,0.0,0.0,0.0,0.0,100.0
CHEVROLETT,1,0.0,0.0,0.0,0.0,100.0
CHEVROLETTE,1,0.0,0.0,0.0,0.0,100.0
CHEVROLTE,1,0.0,0.0,0.0,0.0,100.0
CHEVROLTER,1,0.0,0.0,0.0,0.0,100.0
CHEVROTLET,1,0.0,0.0,0.0,0.0,100.0
CHEVU,1,0.0,0.0,0.0,0.0,100.0
CHEVUY,1,0.0,0.0,0.0,100.0,0.0
