Vehicle Make,n,Fatal Injury,Suspected Serious Injury,Suspected Minor Injury,Possible Injury,No Apparent Injury
NABI,77,0.0,0.0,0.0,1.3,98.7
TESL,72,0.0,0.0,2.78,11.11,86.11
KW,70,0.0,0.0,0.0,5.71,94.29
LNDR,69,0.0,0.0,2.9,10.14,86.96
HYUND,68,0.0,1.47,4.41,23.53,70.59
ISU,68,0.0,0.0,4.41,4.41,91.18
TOYOT,68,1.47,1.47,4.41,13.24,79.41
PIER,66,0.0,0.0,0.0,0.0,100.0
ORIO,64,0.0,0.0,1.56,1.56,96.88
HUMMER,62,0.0,3.23,0.0,17.74,79.03
PETERBUILT,61,0.0,0.0,0.0,3.28,96.72
GENESIS,58,0.0,0.0,5.17,10.34,84.48
PIRC,58,0.0,0.0,0.0,1.72,98.28
BUS,56,0.0,1.79,0.0,1.79,96.43
GRUMMAN,56,0.0,1.79,5.36,8.93,83.93
JAGU,56,0.0,0.0,3.57,12.5,83.93
STRN,56,0.0,0.0,10.71,12.5,76.79
RANGE ROVER,55,0.0,0.0,7.27,7.27,85.45
SUBURU,54,0.0,1.85,5.56,14.81,77.78
IC,53,0.0,0.0,0.0,0.0,100.0
METRO,51,0.0,0.0,1.96,1.96,96.08
SUZI,51,0.0,3.92,29.41,21.57,45.1
OLDSMOBILE,49,0.0,0.0,10.2,12.24,77.55
NOVABUS,46,0.0,0.0,0.0,2.17,97.83
THOMPSON,46,0.0,0.0,2.17,2.17,95.65
GM,45,0.0,4.44,0.0,2.22,93.33
CHRYS,44,0.0,2.27,2.27,4.55,90.91
SATU,44,0.0,0.0,11.36,4.55,84.09
CADILAC,43,0.0,4.65,6.98,9.3,79.07
MASERATI,43,0.0,0.0,6.98,6.98,86.05
MNNI,42,0.0,0.0,7.14,14.29,78.57
XX,42,0.0,0.0,4.76,0.0,95.24
NEW,41,0.0,0.0,0.0,7.32,92.68
PETE,41,0.0,0.0,0.0,0.0,100.0
FREI,40,0.0,0.0,0.0,7.5,92.5
CHRYSTLER,39,0.0,0.0,2.56,10.26,87.18
STLG,39,0.0,0.0,0.0,2.56,97.44
ISUZ,37,0.0,2.7,0.0,8.11,89.19
SCIO,37,0.0,0.0,10.81,8.11,81.08
TOYOYA,37,0.0,0.0,8.11,13.51,78.38
HYUNDI,36,0.0,0.0,5.56,13.89,80.56
SUZU,36,2.78,0.0,16.67,8.33,72.22
TOYTOA,35,0.0,0.0,8.57,8.57,82.86
NOVA,34,0.0,0.0,2.94,2.94,94.12
OLDS,34,0.0,0.0,17.65,5.88,76.47
DUCATI,33,3.03,21.21,39.39,12.12,24.24
HARLEY,33,0.0,15.15,27.27,33.33,24.24
HARLEY-DAVIDSON,33,0.0,33.33,36.36,12.12,18.18
GEO,32,0.0,0.0,15.62,6.25,78.12
MINI COOPER,32,0.0,3.12,3.12,9.38,84.38
TRIUMPH,32,6.25,15.62,43.75,25.0,9.38
LEX,30,0.0,0.0,10.0,13.33,76.67
YAMA,30,0.0,23.33,23.33,33.33,20.0
SMART,29,0.0,0.0,3.45,20.69,75.86
SUB,29,0.0,0.0,10.34,13.79,75.86
ALFA ROMEO,28,0.0,0.0,10.71,3.57,85.71
HYUNDA,28,0.0,0.0,7.14,7.14,85.71
KENW,28,0.0,0.0,0.0,0.0,100.0
NOVB,28,0.0,0.0,0.0,0.0,100.0
OTHR,28,0.0,0.0,0.0,7.14,92.86
SUBU,28,0.0,0.0,3.57,28.57,67.86
TOYTOTA,28,0.0,0.0,7.14,10.71,82.14
PLYMOUTH,26,0.0,3.85,19.23,11.54,65.38
MERCEDEZ BENZ,24,0.0,0.0,8.33,8.33,83.33
MITZ,24,0.0,4.17,12.5,20.83,62.5
NISAN,24,0.0,0.0,0.0,8.33,91.67
SPARTAN MOTORS CHASS,24,0.0,0.0,0.0,0.0,100.0
USPS,24,0.0,0.0,0.0,0.0,100.0
FLYER,23,0.0,0.0,0.0,0.0,100.0
TOTOTA,23,0.0,0.0,8.7,17.39,73.91
99,22,0.0,0.0,0.0,4.55,95.45
KAWK,22,0.0,27.27,22.73,31.82,18.18
MAZADA,22,0.0,0.0,18.18,0.0,81.82
RIVIAN,22,0.0,0.0,0.0,0.0,100.0
TOTY,22,0.0,0.0,13.64,31.82,54.55
VOLKS WAGON,22,0.0,9.09,9.09,4.55,77.27
ZHILONG,22,0.0,4.55,27.27,27.27,40.91
FRT,21,0.0,0.0,0.0,0.0,100.0
INFINTI,21,0.0,4.76,0.0,0.0,95.24
SEAGRAVE,21,0.0,0.0,0.0,0.0,100.0
TRANSIT,21,0.0,0.0,0.0,9.52,90.48
CRANE,20,0.0,0.0,5.0,10.0,85.0
HUNDAI,20,0.0,0.0,10.0,20.0,70.0
GENERAL MOTORS,19,0.0,0.0,5.26,0.0,94.74
JOHN DEERE,19,0.0,0.0,0.0,10.53,89.47
NISSA,19,0.0,0.0,5.26,0.0,94.74
TSMR,19,0.0,0.0,5.26,10.53,84.21
ACCURA,18,0.0,0.0,16.67,11.11,72.22
GILLIS,18,0.0,0.0,0.0,0.0,100.0
INT,18,0.0,0.0,11.11,5.56,83.33
INTE,18,0.0,0.0,0.0,0.0,100.0
AUTO,17,0.0,0.0,0.0,0.0,100.0
CRAN,17,0.0,0.0,0.0,5.88,94.12
FRIEGHTLINER,17,0.0,0.0,0.0,5.88,94.12
HD,17,0.0,11.76,41.18,23.53,23.53
STER,17,0.0,0.0,0.0,0.0,100.0
CRYSLER,16,0.0,0.0,12.5,12.5,75.0
HUMM,16,0.0,0.0,6.25,6.25,87.5
MCI,16,0.0,0.0,0.0,0.0,100.0
ZZKNOWN,16,0.0,12.5,18.75,6.25,62.5
00,15,0.0,6.67,6.67,0.0,86.67
AUTOCAR,15,0.0,0.0,0.0,0.0,100.0
HINDA,15,0.0,0.0,6.67,13.33,80.0
HYUDAI,15,0.0,0.0,0.0,26.67,73.33
SAA,15,0.0,0.0,6.67,6.67,86.67
THOM BU,15,0.0,0.0,0.0,0.0,100.0
THOMAS BUS,15,0.0,0.0,0.0,0.0,100.0
VOLKWAGON,15,0.0,6.67,0.0,13.33,80.0
WESTERN STAR,15,0.0,0.0,0.0,0.0,100.0
FTL,14,0.0,0.0,0.0,0.0,100.0
LEXSUS,14,0.0,0.0,7.14,14.29,78.57
PLYM,14,0.0,0.0,7.14,0.0,92.86
GIL,13,0.0,0.0,0.0,0.0,100.0
HYNDAI,13,0.0,0.0,0.0,15.38,84.62
IC BUS,13,0.0,0.0,0.0,0.0,100.0
SEAG,13,0.0,0.0,0.0,0.0,100.0
STERLING TRUCK,13,0.0,0.0,7.69,0.0,92.31
VOLVO TRUCK,13,0.0,0.0,0.0,0.0,100.0
BU,12,0.0,0.0,0.0,16.67,83.33
GILIG,12,0.0,0.0,8.33,0.0,91.67
MAC,12,0.0,0.0,0.0,0.0,100.0
MITSU,12,0.0,0.0,0.0,16.67,83.33
NEWFLYER,12,0.0,0.0,0.0,0.0,100.0
STRG,12,0.0,0.0,0.0,0.0,100.0
TOYOA,12,0.0,0.0,16.67,8.33,75.0
VANH,12,0.0,0.0,8.33,16.67,75.0
VOLKWAGEN,12,0.0,0.0,8.33,8.33,83.33
BENTLEY,11,0.0,0.0,0.0,9.09,90.91
BLUE BIRD,11,0.0,0.0,0.0,0.0,100.0
EMON,11,0.0,0.0,0.0,0.0,100.0
FREIGHT LINER,11,0.0,0.0,0.0,0.0,100.0
GENS,11,0.0,0.0,0.0,18.18,81.82
HYANDAI,11,0.0,0.0,9.09,27.27,63.64
INTER,11,0.0,0.0,0.0,0.0,100.0
KTM,11,9.09,18.18,18.18,18.18,36.36
LUCID,11,0.0,0.0,9.09,0.0,90.91
MADZA,11,0.0,0.0,0.0,0.0,100.0
PORCHE,11,0.0,0.0,9.09,18.18,72.73
POSTAL,11,0.0,0.0,0.0,0.0,100.0
RANGE,11,0.0,0.0,18.18,0.0,81.82
TRUCK,11,0.0,0.0,0.0,0.0,100.0
ALFA,10,0.0,0.0,0.0,0.0,100.0
CAD,10,0.0,10.0,0.0,20.0,70.0
CHEVERLOT,10,0.0,0.0,0.0,0.0,100.0
DAIMLER,10,0.0,0.0,0.0,0.0,100.0
FRIGHTLINER,10,0.0,0.0,0.0,0.0,100.0
GRUMMAN ALLIED,10,0.0,0.0,10.0,0.0,90.0
HYUNDAY,10,0.0,0.0,20.0,0.0,80.0
IZUZU,10,0.0,0.0,10.0,40.0,50.0
JAG,10,0.0,0.0,0.0,0.0,100.0
MAZ,10,0.0,0.0,10.0,20.0,70.0
MCIN,10,0.0,0.0,0.0,0.0,100.0
POLESTAR,10,0.0,0.0,0.0,0.0,100.0
VOLSWAGON,10,0.0,0.0,10.0,10.0,80.0
BWM,9,0.0,0.0,0.0,22.22,77.78
CRIMSON,9,0.0,0.0,0.0,0.0,100.0
FREIGHLINER,9,0.0,0.0,0.0,0.0,100.0
HONA,9,0.0,0.0,11.11,0.0,88.89
HUYNDAI,9,0.0,0.0,0.0,11.11,88.89
INFIN,9,0.0,0.0,0.0,11.11,88.89
INFINITE,9,0.0,0.0,0.0,33.33,66.67
KENILWORTH,9,0.0,0.0,0.0,0.0,100.0
SUBURA,9,0.0,0.0,0.0,11.11,88.89
TOYOYTA,9,0.0,0.0,11.11,0.0,88.89
TYOTA,9,0.0,0.0,0.0,0.0,100.0
VAN HOOL,9,0.0,0.0,0.0,0.0,100.0
CHEVROLETE,8,0.0,0.0,0.0,0.0,100.0
CHRYLSER,8,0.0,0.0,0.0,0.0,100.0
CRCA,8,0.0,0.0,0.0,0.0,100.0
E-ONE,8,0.0,0.0,0.0,0.0,100.0
EPO,8,0.0,0.0,0.0,12.5,87.5
FRGHT,8,0.0,0.0,0.0,0.0,100.0
GI,8,0.0,0.0,0.0,0.0,100.0
GILLIC,8,0.0,0.0,12.5,0.0,87.5
HUYN,8,0.0,0.0,25.0,0.0,75.0
INFINTY,8,0.0,0.0,0.0,0.0,100.0
LLV,8,0.0,0.0,0.0,12.5,87.5
NEWVAL2006,8,0.0,0.0,0.0,0.0,100.0
RIDE ON,8,0.0,0.0,0.0,0.0,100.0
ROV,8,0.0,0.0,25.0,0.0,75.0
SMRT,8,0.0,0.0,25.0,12.5,62.5
THOMAS BUILT BUS,8,0.0,0.0,0.0,0.0,100.0
TOTOYA,8,0.0,12.5,0.0,25.0,62.5
UD,8,0.0,0.0,0.0,0.0,100.0
WORKHORSE,8,0.0,0.0,0.0,0.0,100.0
BOBCAT,7,0.0,0.0,0.0,0.0,100.0
FIRE,7,0.0,0.0,0.0,0.0,100.0
GILLAG,7,0.0,0.0,0.0,0.0,100.0
GILLIAM,7,0.0,0.0,0.0,0.0,100.0
GILLIAN,7,0.0,0.0,0.0,14.29,85.71
HARL,7,0.0,14.29,28.57,28.57,28.57
HODNA,7,0.0,0.0,0.0,14.29,85.71
HYUANDAI,7,0.0,0.0,0.0,28.57,71.43
HYUNAI,7,0.0,0.0,0.0,14.29,85.71
LEXIS,7,0.0,0.0,14.29,0.0,85.71
LINCON,7,0.0,0.0,0.0,14.29,85.71
MAIL,7,0.0,0.0,0.0,0.0,100.0
MINNI,7,0.0,0.0,0.0,14.29,85.71
PETER BUILT,7,0.0,0.0,0.0,0.0,100.0
POLARIS,7,0.0,42.86,14.29,14.29,28.57
TELSA,7,0.0,0.0,42.86,0.0,57.14
US POSTAL,7,0.0,14.29,0.0,14.29,71.43
WEST,7,0.0,0.0,0.0,0.0,100.0
XXX,7,0.0,0.0,0.0,0.0,100.0
XXXX,7,0.0,14.29,0.0,0.0,85.71
BENZ,6,0.0,0.0,16.67,0.0,83.33
BMX,6,0.0,0.0,0.0,33.33,66.67
BTL,6,0.0,0.0,0.0,0.0,100.0
CHYSLER,6,0.0,0.0,16.67,0.0,83.33
DODGE RAM,6,0.0,0.0,0.0,16.67,83.33
EMG,6,0.0,0.0,0.0,0.0,100.0
FENGYUAN,6,0.0,0.0,50.0,0.0,50.0
FRIEGHT,6,0.0,0.0,0.0,0.0,100.0
GILB,6,0.0,0.0,0.0,0.0,100.0
GILL BU,6,0.0,0.0,0.0,0.0,100.0
GILLIE,6,0.0,0.0,0.0,0.0,100.0
GRUMAN,6,0.0,0.0,16.67,0.0,83.33
HODA,6,0.0,0.0,33.33,0.0,66.67
HSB,6,0.0,0.0,0.0,0.0,100.0
KEN,6,0.0,0.0,16.67,0.0,83.33
KYMCO,6,0.0,16.67,66.67,16.67,0.0
LAMBORGHINI,6,0.0,0.0,16.67,16.67,66.67
MASE,6,0.0,0.0,0.0,0.0,100.0
MOTOR COACH INDUSTRI,6,0.0,0.0,0.0,0.0,100.0
NDMC,6,0.0,0.0,16.67,0.0,83.33
NISSON,6,0.0,0.0,0.0,16.67,83.33
OTHER,6,0.0,0.0,0.0,0.0,100.0
PETER,6,0.0,0.0,0.0,16.67,83.33
PREVOST,6,0.0,0.0,0.0,0.0,100.0
RANG,6,0.0,0.0,0.0,0.0,100.0
SATR,6,0.0,0.0,0.0,0.0,100.0
"SPARTAN FIRE, LLC",6,0.0,0.0,0.0,0.0,100.0
SUBAR,6,0.0,0.0,0.0,16.67,83.33
TOOTA,6,0.0,0.0,0.0,16.67,83.33
TOYOTS,6,0.0,0.0,0.0,0.0,100.0
VAN,6,0.0,0.0,0.0,0.0,100.0
VICTORY,6,0.0,16.67,50.0,0.0,33.33
